Keys,English (Canada),French (Canada)
##gamemenu_help_popup_queuearcher_text,"- Select your workbench. \n
- At the bottom of your screen, with the workbench pop-up, you can select what you want to craft. \n
- Click on the <color=#ffc50a>Archer Kit</color> to begin production. \n
- You can queue multiple kits by clicking on the Archer kit again. \n
<color=#ffc50a> Make sure to have an empty weapon rack to store your kits.</color> \n
A weapon racks can only hold <color=#ffc50a>4 military kits of a single type at once.</color>","- <color=#ffc50a>Sélectionnez L'Établi.</color> \n
- Au bas de votre écran, avec la fenêtre contextuelle de l'établi, vous pouvez sélectionner ce que vous désirez produire. \n
- <color=#ffc50a>Cliquez sur le le Kit d'Archer.</color> pour commencer la production \n
- Vous pouvez ajouter plusieurs kits à la file de production en cliquant sur l'icone plusieurs fois. \n
<color=#ffc50a>Assurez vous d'avoir un râtelier vide pour entreposer vos kits.</color> \n
Les râteliers peuvent entreposer jusqu'à <color=#ffc50a>4 kits de la même sorte par râtelier</color>."
##gamemenu_help_popup_equiparcher,Equip Archer Kit,Équiper un Archer
##gamemenu_help_popup_equiparcher_text,"- Select a <color=#ffc50a>Bricktron</color>. \n
- <color=#ffc50a>Right-click</color> (don't hold right-click) on the <color=#ffc50a>weapon rack containing the Archer Kit</color>. \n
To unequip the kit, select the Archer and right-click an empty weapon rack or one that contains 3 or less Archer kits!","- Sélectionnez un <color=#ffc50a>Bricktron</color>. \n
- Faites <color=#ffc50a>Clic-Droit</color> sur le <color=#ffc50a>râtelier contenant un kit d'archer</color>. \n
Pour le déséquiper, faites Clic-Droit à nouveau sur un râtelier qui contient moins de 3 kits d'archer!"
##gamemenu_help_popup_spawnbricktron,Spawning Bricktrons,Invoquer un Bricktron
##gamemenu_help_popup_spawnbricktron_text,"To Spawn additionnal Bricktrons, you need to collect <color=#ffc50a>Wisps</color>. You can see your total number of wisps in the panel on the bottom left side of your screen. \n
Once that bar is full, you will see a <color=#ffc50a>Yellow Wisp</color> floating around your main crystal. \n
- To spawn a Bricktron, <color=#ffc50a>click</color> on the <color=#ffc50a>Bricktron icon</color> next to the progressing bar. \n","Pour invoquer des Bricktrons supplémentaires, vous devez accumuler des <color=#ffc50a>Feux-Follets</color>. Vous pouvez voir votre quantité totale de feux-follets sur le panneau en bas à gauche de l'écran. \n
Lorsque cette barre est pleine, vous verrez un <color=#ffc50a>Feu-Follet Jaune</color> apparaitre autour de votre cristal principal. \n
- Pour invoquer un Bricktron, <color=#ffc50a>Cliquez</color> sur <color=#ffc50a>l'icône du Bricktron</color> à côté de la barre de progression. \n"
##gamemenu_help_popup_outro,Need More Help?,Pour en savoir plus
##gamemenu_help_popup_outro_text,"If you need more help, check out the help panel by clicking on the question mark at the top right of your screen. \n
You can also visit the official Castle Story wiki on <color=#ffc50a>http://wiki.castlestory.net</color> \n
You can find other players to chat with on the official Castle Story Discord at <color=#ffc50a>http://castlestory.net/Discord</color>","Si vous avez besoin de plus d'aide, jetez un coup d'oeil sur le menu d'aide en cliquant sur le point d'interrogation en haut à droite de votre écran. \n
Vous pouvez aussi visiter le Wiki officiel de Castle Story sur <color=#ffc50a>http://wiki.castlestory.net</color> \n
Vous pouvez trouver d'autres joueurs avec qui parler ou jouer sur le Discord officiel de Castle Story au <color=#ffc50a>http://castlestory.net/Discord</color>"
##gamemenu_help_popup_nextsection,Coming Next,La Suite
##gamemenu_help_popup_nextsection_text,"This next section Will show you how to craft other military units and discuss more advanced aspects of the game. \n 
<color=#ffc50a>You can end this tutorial at any moment by turning it off in the options menu (F10)</color>.","La prochaine section vous expliquera comment obtenir d'autres unités militaires et discutera de mécaniques plus avancées. \n
<color=#ffc50a>Vous pouvez terminer ce tutoriel à n'importe quel moment dans le menu d'options (F10)</color>."
##gamemenu_help_popup_startinvasion,Test your Might,Testez votre Force
##gamemenu_help_popup_startinvasion_text,"You are now free to continue to explore the game! \n
Want to put your Bricktrons to the test? Then press the <color=#ffc50a>Send Corruptron Wave button</color> on the <color=#ffc50a>left side of your screen</color>. \n
This will send a wave of Corruptrons to attack your crystal. \n
Try and see how many waves you can defeat!","Vous êtes maintenant libres de continuer à explorer le jeu. \n
Vous voulez mettre vos Bricktrons à l'épreuve? Appuyez sur le <color=#ffc50a>bouton Vague de Corruptrons</color> sur le <color=#ffc50a>côté gauche de votre écran</color>. \n
Une vague de Corruptron tentera d'attaquer votre Cristal. \n
À combien de vagues pourrez vous résister?"
,,
##gamemenu_help_popup_buildmorestockpiles,<color=#ff0064><size=12>You need more empty stockpiles!</size></color> Build additionnal stockpiles to continue harvesting resources.,<color=#ff0064><size=12>Construisez plus de palettes!</size></color> Requis pour continuer à récolter des ressources.
##gamemenu_help_popup_toomanytasks,<color=#ff0064><size=12>You have too many tasks!</size></color> Delete some of your existing tasks to place new ones.,<color=#ff0064><size=12>Vos Bricktrons ont trop de tâches!</size></color> Supprimez-en pour en créer des nouvelles.
##gamemenu_help_popup_next,Continue,Continuer
##gamemenu_help_popup_todisable,"<i>To disable these help popups, go in general options by pressing F10</i>","<i>Pour désactiver ces astuces, allez dans les options générales en appuyant sur F10</i>"
,,
Insert new tutorial sidebar strings below,,
##help_sidebar_welcometocastlestory_title,Beginner's Guide,Guide du débutant
##help_sidebar_welcometocastlestory_text1,Welcome to Castle Story!,Bienvenue sur Castle Story!
##help_sidebar_welcometocastlestory_text2,"In this tutorial, we will teach you the basics of playing the game.\n\nCastle Story is a complex game, so we recommend following it in it's entirety before diving deeper in other game modes. \n\n<color=#ffc50a>Let's get started!</color>\n","Avec ce tutoriel, nous allons vous enseigner les bases pour jouer au jeu.\n\nCastle Story est un jeu complexe, nous vous recommandons de suivre ce tutoriel dans son intégralité avant d'aller plus en profondeur dans les autres modes de jeu. \n<color=#ffc50a><b>Commençons!</b></color> \n"
##help_sidebar_welcometocastlestory_text3,"<color=#ffc50a>Pro tip: </color>if you do not want to see this tutorial, open the main menu and disable the tutorial in <color=#ffc50a>options / general > disable tooltips.</color>","<color=#ffc50a>Astuce:</color> Si vous ne voulez pas voir ce tutoriel, ouvrez le menu principal et désactivez le tutoriel dans <color=#ffc50a>options / général > désactiver tutoriel. </color>"
##help_sidebar_welcometocastlestory_button,Continue,Continuer
##help_sidebar_welcometocastlestory_tooltip_title,Home Crystal,<size=10>Cristal Principal</size>
##help_sidebar_welcometocastlestory_tooltip_text,This is your Home Crystal. Defend it at all costs!,Ceci est votre Cristal Principal. Défendez-le à tout prix!
##help_sidebar_meetthebricktrons_title,The Basics,Les Bases
##help_sidebar_meetthebricktrons_text1,Meet the Bricktrons!,Rencontrez les Bricktrons!
##help_sidebar_meetthebricktrons_text2,The Bricktrons,Les Bricktrons
##help_sidebar_meetthebricktrons_text3,"<color=#ffc50a>Bricktrons</color> are friendly yellow creatures that will follow your orders. You can give them direct orders, or place down tasks that they will choose to do on their own.",Les <color=#ffc50a>Bricktrons</color> sont de petites créatures jaunes amicales qui vont suivre vos ordres. Vous pouvez leur donner des ordres directement ou placer des tâches que les Bricktrons vont choisir de faire par eux-mêmes. 
##help_sidebar_meetthebricktrons_text4,Your Home Crystal,Votre Cristal Principal
##help_sidebar_meetthebricktrons_text5,"The <color=#ffc50a>Home Crystal</color> is the heart of your civilization. You must defend it at all costs from marauding creatures or rival bricktron villages.\n\nThe Home Crystal is also <color=#ffc50a> your source of power</color>, and <color=#ffc50a>the only place to get more Bricktrons</color>.",Le <color=#ffc50a>Cristal Principal</color> est le coeur de votre civilisation. Vous devez le défendre à tout prix contre les créatures en maraudage ou des villages bricktron ennemis. \n\nLe Cristal Principal est aussi <color=#ffc50a> votre source d'énergie</color> et aussi <color=#ffc50a>le seul endroit où vous pouvez obtenir plus de Bricktrons.</color>
##help_sidebar_meetthebricktrons_button,Continue,Continuer
##help_sidebar_controllingthecamera_title,The Basics,Les Bases
##help_sidebar_controllingthecamera_text1,Controlling the camera,Contrôler la caméra
##help_sidebar_controllingthecamera_text2,Moving the camera,Bouger la caméra
##help_sidebar_controllingthecamera_text3,Use the <color=#ffc50a>#hotkeys</color> keys to move the camera horizontally.,Utilisez les touches <color=#ffc50a>#hotkeys</color> pour bouger la caméra à l'horizontale.
##help_sidebar_controllingthecamera_text4,<color=#ffc50a>Pro tip:</color> You can also enable screen edge nudge in options / gameplay,<color=#ffc50a>Astuce:</color> Vous pouvez activer le contrôle de l'écran avec la souris dans le menu option/jouabilité.
##help_sidebar_controllingthecamera_text5,Rotating the camera,Rotation de la caméra
##help_sidebar_controllingthecamera_text6,Use <color=#ffc50a>#hotkeys</color> or <color=#ffc50a>Middle Mouse Button</color> to rotate the camera around the pivot.,Utilisez les touches <color=#ffc50a>#hotkeys</color> ou le <color=#ffc50a>bouton du milieu de la souris</color> pour bouger la caméra autour du pivot.
##help_sidebar_controllingthecamera_text7,Zooming in & out,Zoom avant et arrière
##help_sidebar_controllingthecamera_text8,Use <color=#ffc50a>#hotkeys</color> or the <color=#ffc50a>Mouse Scroll Wheel</color> to zoom in and out.,Utilisez les touches <color=#ffc50a>#hotkeys</color> ou la <color=#ffc50a> roulette de la souris</color> pour faire un zoom avant ou arrière avec la caméra.
##help_sidebar_controllingthecamera_text9,Changing the elevation,Changer l'élévation
##help_sidebar_controllingthecamera_text10,Use <color=#ffc50a>Shift + Scroll Wheel</color> or <color=#ffc50a>#hotkeys</color> to change the elevation of the camera pivot.,Utilisez <color=#ffc50a>Shift avec la molette de la souris</color> ou <color=#ffc50a>#hotkeys</color> pour changer l'élévation du pivot de la caméra.
##help_sidebar_controllingthecamera_text11,<color=#ffc50a>Pro tip:</color> You can force <color=#ffc50a>auto-ground-hug by pressing #hotkeys</color>.,<color=#ffc50a>Astuce:</color> Vous pouvez forcer <color=#ffc50a>l'ajustement automatique de la hauteur en appuyant sur #hotkeys</color>.
##help_sidebar_controllingthecamera_button,Continue,Continuer
##help_sidebar_issuingorders_title,The Basics,Les Bases
##help_sidebar_issuingorders_text1,Issuing Orders,Émettre des ordres
##help_sidebar_issuingorders_text2,Selecting Bricktrons,Sélectionner les Bricktrons
##help_sidebar_issuingorders_text3,Use the <color=#ffc50a>Left Mouse Button</color> to select a Bricktron.\n\nYou can also <color=#ffc50a>Drag Select</color> to select multiple Bricktrons.\n\nOnce a Bricktron is selected a yellow circle will appear beneath its feet.,"Utilisez le <color=#ffc50a>bouton de gauche de la Souris</color> pour sélectionner un Bricktron.\n\nVous pouvez aussi <color=#ffc50a>cliquer, maintenir enfoncer et glisser</color> pour sélectionner plusieurs Bricktons à la fois."
##help_sidebar_issuingorders_text4,"<color=#ffc50a>Pro tip :</color> If you <color=#ffc50a>Double Click</color> on a Bricktron, it will select all the Bricktrons of the same class (ie: workers, archers, knights, etc.)","<color=#ffc50a>Astuce: En Double Cliquant</color> sur un Bricktron, tous ceux de la même classe vont être sélectionné (ex: travailleurs, archers, chevaliers, etc.)"
##help_sidebar_issuingorders_text5,Issuing Orders,Donner des Ordres
##help_sidebar_issuingorders_text6,"With a selected Bricktron, <color=#ffc50a>Right Click</color> on the ground to give it a <color=#ffc50a>Move Order</color>.\n\nIf you <color=#ffc50a>Control + Right Click</color> on the ground, this will issue a <color=#ffc50a>Dig Order</color>.\n\n<color=#ffc50a>Control + Right Click</color> on bricks or structures will issue a <color=#ffc50a>Destroy Order</color>.","Avec un Brickton sélectionné, <color=#ffc50a>Clique Droit</color> sur le sol pour donner un <color=#ffc50a>Ordre de Bouger</color>.\n\nSi vous <color=#ffc50a>Control + Clique Droit</color> sur le sol, cela va émettre <color=#ffc50a>l'Ordre de Creuser</color>.\n\n<color=#ffc50a>Control + Clique Droit</color> sur des briques ou sur des structures va émettre <color=#ffc50a>l'Ordre de Détruire</color>."
##help_sidebar_issuingorders_button,Continue,Continuer
##help_sidebar_gatheringstuff_title,Resources,Ressources
##help_sidebar_gatheringstuff_text1,Gathering Stuff,Récolter des Ressources
##help_sidebar_gatheringstuff_text2,"In Castle Story, you gather resource by placing down tasks. Left to themselves, Bricktrons will choose tasks based on priority, but you can also reassign them.\n\n<color=#ffc50a>Wood is the first resource you will want to gather</color>.\n\nLet's cut some trees!","Dans Castle Story, vous récoltez des ressources en placant des tâches. Laissés à eux-mêmes, les Bricktrons vont choisir une tâche à exécuter basée sur la priorité, vous pouvez aussi les assigner vous-même à une tâche.\n\n<color=#ffc50a>Le bois est la première ressource que vous voulez récolter</color>."
##help_sidebar_gatheringstuff_text3,Harvesting Wood,Récolter du Bois
##help_sidebar_gatheringstuff_text4,"<color=#ffc50a>Press the Tasks button</color> at the center left of the screen, and choose the <color=#ffc50a>Harvest Wood task</color>.\n\n<color=#ffc50a>Click on a patch of trees</color>. You should see a yellow circle appear, highlighting all the trees in it.\n\n<color=#ffc50a>Press Tab</color> or the <color=#00ff15>Green Checkmark</color> to activate the task.","<color=#ffc50a>Appuyez sur le bouton de Tâches</color> au centre à gauche de l'écran et choisissez la <color=#ffc50a>Tâche de Récolte de Bois</color>.\n\n<color=#ffc50a>Cliquez sur des arbres</color>. Vous devriez voir un cercle jaune apparaître, les arbres qui se trouvent dans le cercle sont alors sélectionnés.\n\n<color=#ffc50a>Cliquez sur Tab</color> ou sur le <color=#ffc50a>Crochet Vert</color> pour activer la tâche."
##help_sidebar_gatheringstuff_text5,<color=#ffc50a>Pro tip:</color> You can <color=#ffc50a>change the radius</color> of the harvest tasks by click-dragging the yellow circle or <color=#ffc50a>move the center</color> by dragging the pin in the middle.,<color=#ffc50a>Astuce:</color> Vous pouvez <color=#ffc50a>changer le rayon</color> d'une tâche en cliquant+glisser le cercle jaune ou <color=#ffc50a>bouger la tâche</color> en glissant la poignée au centre de la zone affichée.
