Keys,French (Canada)
##task_all_goals_info,<color=#ffc50a>Buts</color>\n\nNombre d'objectifs dans cette tâche
,
##task_build_blueprintclear,Nettoyer Sélection de Plan
##task_build_blueprintclear_info,<color=#ffc50a>Nettoyer Sélection de Plan</color>\n\nNettoie la sélection actuelle de plans.
##task_build_blueprintactive,Commuter Gestion de Plan
##task_build_blueprintactive_info,<color=#ffc50a>Commuter Gestion de Plan</color>\n\nActive ou désactive la gestion de plans.
##task_build_blueprintdelete,Effacer Plans Sélectionnés
##task_build_blueprintdelete_info,<color=#ffc50a>Effacer Plans Sélectionnés</color>\n\nEfface les plans sélectionnés.
##task_build_blueprintexpand,Expansion de Sélection de Plan
##task_build_blueprintexpand_info,<color=#ffc50a>Expansion de Sélection de Plan</color>\n\nPermet d'ajouter d'autres plans à la sélection.
##task_build_blueprintmove,Bouger Plans Sélectionnés
##task_build_blueprintmove_info,<color=#ffc50a>Bouger Plans Sélectionnés</color>\n\nBougez plusieurs plans simultanément.
##task_build_blueprintsplit,Séparer Plans Sélectionnés
##task_build_blueprintsplit_info,<color=#ffc50a>Séparer Plans Sélectionnés</color>\n\nSépare la sélection dans une nouvelle tâche.
##task_build_blueprintcopy,Copier Sélection de Plans
##task_build_blueprintcopy_info,<color=#ffc50a>Copier Sélection de Plans</color>\n\nFait une copie de la sélection actuelle.
,
##task_priority,Priorité
,
##task_actions,Actions
##task_actions_ok,OK
##task_actions_ok_info,<color=#ffc50a>OK</color>\n\nConfirme les changements et ferme le mode édition
##task_actions_apply,Appliquer
##task_actions_apply_info,<color=#ffc50a>Appliquer</color>\n\nConfirmer les changements
##task_actions_cancel,Annuler
##task_actions_cancel_info,<color=#ffc50a>Annuler</color>\n\nAnnule les changements
##task_actions_delete,Supprimer
##task_actions_delete_info,<color=#ffc50a>Supprimer</color>\n\nSupprime la tâche sélectionnée
##task_actions_select,Sélectionner Tâche
##task_actions_select_info,<color=#ffc50a>Sélectionner Tâche</color>\n\nSélectionne cette tâche
##task_actions_selectcrew,Sélectionner Groupe
##task_actions_selectcrew_info,<color=#ffc50a>Sélectionner Groupe</color>\n\nSélectionne ces Bricktrons pour leur donner des ordres
##task_actions_deselect,Désélectionner
##task_actions_deselect_info,<color=#ffc50a>Désélectionner</color>\n\nDésélectionne les Bricktrons associés à cette tâche
,
##task_idle_crystal,Prochain Bricktron
##task_idle_energy,Énergie:
##task_idle_maxenergy,Maximum Atteint
##task_idle_spawn,Invoquer
##task_idle_dead,Morts
##task_idle_population,Population
##task_idle_population_info,<color=#ffc50a>Population</color>\n\nVotre population actuelle de Bricktrons sur le maximum permis
##task_idle_death,Bricktrons Morts
##task_idle_death_info,<color=#ffc50a>Bricktrons Morts</color>\n\nCes Bricktrons vont automatiquement ressusciter près de votre cristal principal
##task_idle_progress,Barre de Progrès
##task_idle_progress_info,<color=#ffc50a>Barre de Progrès</color>\n\nProgrès vers le prochain Bricktron
##task_idle_spawnunit,Invoquer Bricktron
##task_idle_spawnunit_info,<color=#ffc50a>Invoquer Bricktron</color>\n\nInvoque un Bricktron ouvrier
,
##task_build_goals,Blocs
##task_build_goals_info,"<color=#ffc50a>Blocs</color>\n\nNombre de briques, blocs et structures à construire et à placer"
,
##task_harvest_options,Types de Ressources
##task_harvest_goals,Ressources
##task_harvest_goals_info,<color=#ffc50a>Ressources</color>\n\nNombre de ressources à récolter dans cette tâche
##task_harvest_iron,Fer
##task_harvest_iron_info,<color=#ffc50a>Fer</color>\n\nActiver ou désactiver la récolte de fer dans cette tâche
##task_harvest_iron_goals,Veines de fer
##task_harvest_iron_goals_info,<color=#ffc50a>Veines de fer</color>\n\nNombre de veines de fer à récolter dans cette tâche
##task_harvest_plants,Plantes
##task_harvest_plants_info,<color=#ffc50a>Plantes</color>\n\nActiver ou désactiver la récolte de plantes dans cette tâche
##task_harvest_plants_goals,Plantes
##task_harvest_plants_goals_info,<color=#ffc50a>Plantes</color>\n\nNombre de plantes à récolter dans cette tâche
##task_harvest_brimstone,Soufre
##task_harvest_brimstone_info,<color=#ffc50a>Soufre</color>\n\nActiver ou désactiver la récolte de soufre dans cette tâche
##task_harvest_brimstone_goals,Veines de soufre
##task_harvest_brimstone_goals_info,<color=#ffc50a>Veines de soufre</color>\n\nNombre de veines de soufre à récolter dans cette tâche
##task_harvest_trees,Bois
##task_harvest_trees_info,<color=#ffc50a>Bois</color>\n\nActiver ou désactiver la récolte de bois dans cette tâche
##task_harvest_trees_goals,Arbres
##task_harvest_trees_goals_info,<color=#ffc50a>Arbres</color>\n\nNombre d'arbres à récolter dans cette tâche
##task_harvest_boulders,Pierre
##task_harvest_boulders_info,<color=#ffc50a>Pierre</color>\n\nActiver ou désactiver la récolte de pierres dans cette tâche
##task_harvest_boulders_goals,Rochers
##task_harvest_boulders_goals_info,<color=#ffc50a>Rochers</color>\n\nNombre de rochers à récolter dans cette tâche
,
##task_landscape_goals,Voxels
##task_landscape_goals_info,<color=#ffc50a>Voxels</color>\n\nNombre de voxels à enlever ou ajouter
##task_landscape_raise,Niveler vers le haut
##task_landscape_raise_info,<color=#ffc50a>Niveler vers le haut</color>\n\nOrdonne aux Bricktrons de surélever le terrain à l'endroit choisi
##task_landscape_lower,Niveler vers le bas
##task_landscape_lower_info,<color=#ffc50a>Niveler vers le bas</color>\n\nOrdonne aux Bricktrons de creuser le terrain à l'endroit choisi
,
##task_tunnel_options,Prochain Tunnel
##task_tunnel_goals,Voxels
##task_tunnel_goals_info,<color=#ffc50a>Voxels</color>\n\nNombre de voxels à enlever
##task_tunnel_up,Creuser vers le haut
##task_tunnel_up_info,<color=#ffc50a>Creuser vers le haut</color>\n\nOrdonne aux Bricktrons de creuser vers le haut
##task_tunnel_down,Creuser vers le bas
##task_tunnel_down_info,<color=#ffc50a>Creuser vers le bas</color>\n\nOrdonne aux Bricktrons de creuser vers le bas
##task_tunnel_straight,Creuser de niveau
##task_tunnel_straight_info,<color=#ffc50a>Creuser de niveau</color>\n\nOrdonne aux Bricktrons de creuser de niveau
##task_keepstone_info,<color=#ffc50a>Garder la roche</color>\n\nLes Bricktrons entreposeront la roche récoltée
##task_keepiron_info,<color=#ffc50a>Garder le fer</color>\n\nLes Bricktrons entreposeront le fer récolté
##task_keepbrimstone_info,<color=#ffc50a>Garder la soufre</color>\n\nLes Bricktrons entreposeront le soufre récolté
,
##task_quarry_goals,Voxels
##task_quarry_goals_info,<color=#ffc50a>Voxels</color>\n\nNombre de voxels à enlever
##task_quarry_stairs,Tourner les Escaliers
##task_quarry_stairs_info,<color=#ffc50a>Tourner les Escaliers</color>\n\nTourne les futurs escaliers de la carrière
,
##task_repair_goals,Blocs
##task_repair_goals_info,"<color=#ffc50a>Blocs</color>\n\nNombre de briques, blocs et structures à réparer"
,
##task_cleanup_goals,Morceaux
##task_cleanup_goals_info,<color=#ffc50a>Morceaux</color>\n\nNombre de morceaux de ressource qui jonchent le sol
,
NEWS,
##news_mastodonte,MISE À JOUR DÉCORATIONS & BIOME D'HIVER!\nMAINTENANT DISPONIBLE!
##news_mastodonte_datetime,#datetime
##news_mastodonte_info,"La mise à jour décorations et biome d'hiver est en ligne, introduisant au jeu de nombreux blocs; de nouveaux piliers, tableaux, une statue, des fenêtres, des portes, ET un nouveau biome enneigé disponible pour jouer et dans l'éditeur de niveaux!\n\nAmusez-vous!"
##news_mastodonte_start,JOUER AU TUTORIEL
##news_mastodonte_start_info,
##news_mastodonte_readmore,En savoir plus
##news_mastodonte_readmore_info,Rendez-vous à CastleStory.net
,
,
,
##temp_event_gtp,Ramasse les Citrouilles
##temp_event_gtp_info,Ramasse les Citrouilles est un mode multijoueur dans lequel vous devez ramener des citrouilles à votre marmite. L'équipe qui ramène le plus de citrouilles gagne!
##temp_event_gtp_intro,"Pour gagner la partie dans le mode Ramasse les Citrouilles, vous devez ramasser #gems_to_win citrouilles et les déposer dans votre marmite.
Utilisez un ouvrier pour ramasser une citrouille dans son carré en faisant clic-droit. Déposez cette délicieuse courge dans votre marmite en faisant clic-droit avec un ouvrier qui en transporte une.
Considérez défendre les carrés de citrouilles et chasser les travailleurs ennemis qui tentent de les ramener à leur marmite.
Amusez-vous et bonne chance!"
##temp_event_gtp_gemscollected_one,Vous avez ramassé #gem_count citrouille!
##temp_event_gtp_gemscollected_many,Vous avez ramassé #gem_count citrouilles!
##temp_event_gtp_timebeforenextgem,Prochaine citrouille dans:
##temp_event_gtp_victory_info,Vous êtes victorieux! Vous êtes le premier à avoir ramassé toutes les citrouilles nécéssaires. Fabuleux! Outrageux!
##temp_event_gtp_defeat_info,"Vous avez perdu. \n
Une autre faction que la vôtre a ramassées les citrouilles nécéssaires avant vous.\n
Vos Brickrons, privés du pouvoir que leur confèrent les courges, vivront dans la honte jusqu'à la prochaine bataille!"
##temp_event_gtp_mastodonte,RAMASSEZ LES CITROUILLES!
##temp_event_gtp_mastodonte_info,"C'est le retour de l'événement d'Halloween! Cette année encore, Ramassez les Gemmes prend un air plus menaçant! Les gemmes se changent en citrouilles, le cristal devient un chaudron bouillonant et la lune n'a pas l'air tout à fait normale! Si vous n'avez pas encore essayé Ramassez les Gemmes/Citrouilles, tentez votre chance, c'est très amusant!\n\nVous remarquerez également que les Bricktrons portent leur meilleurs costumes! Partagez une capture d'écran de votre préféré sur les médias sociaux avec le tag #castlestory!\n\nJoyeuse Halloween!\n\n-L'équipe Sauropod"
